ym,event,n_articles
2025-06,licensing_agreements,17
2025-06,major_shareholder_announcements,107
2025-06,management_changes,190
2025-06,management_statements,5
2025-06,managerial_transactions,2
2025-06,managers'_transactions,1
2025-06,managers_transactions,33
2025-06,managing_changes,1
2025-06,market_research_reports,3
2025-06,mergers_acquisitions,206
2025-06,observation_status,16
2025-06,partnerships,98
2025-06,patents,5
2025-06,press_releases,115
2025-06,product_services_announcement,115
2025-06,prospectus_announcement,28
2025-06,rebranding,1
2025-06,regulatory_filings,158
2025-06,research_analysis_and_reports,1
2025-06,share_capital_increase,62
2025-06,shareholders_nomination_board,1
2025-06,shares_issue,150
2025-06,strategic_plan,1
2025-06,strategic_review,1
2025-06,trade_show,12
2025-06,trading_information,2
2025-06,voting_rights,56
2025-06,warrants_and_certificates,22
2025-07,advisory,5
2025-07,analyst_coverage,6
2025-07,annual_general_meeting,117
2025-07,annual_meetings_shareholder_rights,3
2025-07,annual_report,25
2025-07,bankruptcy,17
2025-07,bond_fixing,82
2025-07,business_contracts,104
2025-07,capital_investment,61
2025-07,changes_in_companys_own_shares,1109
2025-07,changes_in_share_capital_and_votes,69
2025-07,changes_in_shareholdings,1
2025-07,clinical_study,146
2025-07,company_regulatory_filings,59
2025-07,conference_call_webinar,178
2025-07,contests_awards,45
2025-07,corporate_action,233
2025-07,credit_rating,2
2025-07,delisting,1
2025-07,dividend_reports_and_estimates,103
2025-07,earnings_releases_and_operating_results,580
2025-07,environmental_social_governance,44
2025-07,ex_dividend_date,10
2025-07,exchange_announcement,66
2025-07,extraordinary_general_meeting,6
2025-07,feature_article,6
2025-07,financial_calendar,34
2025-07,financial_results,1229
2025-07,financing_agreements,106
2025-07,fund_data_announcement,10
2025-07,geographic_expansion,96
2025-07,government_news,49
2025-07,initial_public_offerings,15
2025-07,interim_information,197
2025-07,joint_venture,24
2025-07,law_legal_issues,359
2025-07,licensing_agreements,17
2025-07,liquidity_agreement,1
2025-07,liquidity_contract,1
2025-07,major_shareholder_announcements,173
2025-07,management_changes,265
2025-07,management_statements,9
2025-07,manager_transactions,1
2025-07,managerial_transactions,1
2025-07,managers_transactions,19
2025-07,mandatory_notifications,1
2025-07,market_research_reports,39
2025-07,mergers_acquisitions,405
2025-07,observation_status,14
2025-07,partnerships,177
2025-07,patents,15
2025-07,press_releases,195
2025-07,product_services_announcement,187
2025-07,profit_warning,2
2025-07,prospectus_announcement,26
2025-07,recapitalization,2
2025-07,regulatory_filings,338
2025-07,research_analysis_and_reports,2
2025-07,share_capital_increase,69
2025-07,shares_issue,103
2025-07,special_general_meeting,1
2025-07,stabilization,1
2025-07,stabilization_measures,1
2025-07,trade_show,6
2025-07,trading_information,35
2025-07,transfer,2
2025-07,voting_rights,94
2025-07,warrants_and_certificates,11
2025-08,advisory,11
2025-08,analyst_coverage,1
2025-08,annual_general_meeting,89
2025-08,annual_meetings_shareholder_rights,3
2025-08,annual_report,13
2025-08,bankruptcy,14
2025-08,bond_fixing,55
2025-08,business_contracts,40
2025-08,capital_investment,24
2025-08,changes_in_companys_own_shares,612
2025-08,changes_in_share_capital_and_votes,36
2025-08,clinical_study,201
2025-08,company_regulatory_filings,19
2025-08,conference_call_webinar,223
2025-08,contests_awards,36
2025-08,corporate_action,121
2025-08,dividend_reports_and_estimates,112
2025-08,earnings_releases_and_operating_results,440
2025-08,environmental_social_governance,29
2025-08,ex_dividend_date,3
2025-08,exchange_announcement,26
2025-08,feature_article,4
2025-08,financial_calendar,30
2025-08,financial_results,954
2025-08,financing_agreements,87
2025-08,fund_data_announcement,25
2025-08,geographic_expansion,59
2025-08,government_news,17
2025-08,initial_public_offerings,16
2025-08,interim_information,61
2025-08,joint_venture,6
2025-08,law_legal_issues,676
2025-08,licensing_agreements,9
2025-08,major_shareholder_announcements,105
2025-08,management_changes,174
2025-08,management_statements,8
2025-08,market_research_reports,91
2025-08,mergers_acquisitions,175
2025-08,partnerships,79
2025-08,patents,8
2025-08,press_releases,68
2025-08,product_services_announcement,114
2025-08,prospectus_announcement,12
2025-08,regulatory_filings,340
2025-08,research_analysis_and_reports,1
2025-08,share_capital_increase,25
2025-08,shares_issue,54
2025-08,trade_show,10
2025-08,trading_information,4
2025-08,voting_rights,63
2025-08,warrants_and_certificates,16
